 iteration      beta_a      beta_b
     20725    2.599562    1.215239
     20750    2.486889    1.231100
     20775    2.601580    1.211755
     20800    2.560456    1.247568
     20825    2.569577    1.243078
     20850    2.569490    1.240444
     20875    2.586372    1.228450
     20900    2.575264    1.257411
     20925    2.582151    1.234094
     20950    2.411810    1.178959
     20975    2.538154    1.227561
     21000    2.640395    1.302853
     21025    2.678176    1.292857
     21050    2.722000    1.277289
     21075    2.632087    1.269034
     21100    2.584469    1.278582
     21125    2.605898    1.217376
     21150    2.590809    1.260296
     21175    2.454320    1.183877
     21200    2.504518    1.265538
     21225    2.519401    1.217970
     21250    2.471239    1.195825
     21275    2.611205    1.250120
     21300    2.550037    1.226918
     21325    2.681885    1.292259
     21350    2.666477    1.306587
     21375    2.670521    1.285250
     21400    2.584512    1.232364
     21425    2.511811    1.225393
     21450    2.502806    1.205715
     21475    2.650256    1.263559
     21500    2.559037    1.241008
     21525    2.719056    1.319926
     21550    2.570956    1.231869
     21575    2.508378    1.222753
     21600    2.609164    1.241204
     21625    2.452734    1.142402
     21650    2.551094    1.205829
     21675    2.730909    1.333343
     21700    2.800552    1.302824
     21725    2.678452    1.263849
     21750    2.531939    1.265645
     21775    2.780546    1.282173
     21800    2.811575    1.346654
     21825    2.556016    1.168132
     21850    2.651080    1.318781
     21875    2.651469    1.292779
     21900    2.438500    1.165209
     21925    2.650264    1.284143
     21950    2.585730    1.208297
     21975    2.598393    1.281344
     22000    2.651345    1.302088
     22025    2.438346    1.184284
     22050    2.551901    1.265101
     22075    2.579739    1.263988
     22100    2.595410    1.286963
     22125    2.587002    1.241297
     22150    2.563779    1.255771
     22175    2.638806    1.264846
     22200    2.521501    1.211823
     22225    2.610073    1.290063
     22250    2.541061    1.240820
     22275    2.565195    1.259211
     22300    2.561187    1.264954
     22325    2.607418    1.270337
     22350    2.603360    1.241732
     22375    2.581674    1.239951
     22400    2.508868    1.219142
     22425    2.697398    1.335971
     22450    2.671276    1.346585
     22475    2.535231    1.240215
     22500    2.570281    1.259620
     22525    2.440208    1.210744
