 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     55575   -7.91084e+04    0.246902    0.173333    0.191987    0.400000    0.160000    0.322567    0.294782
     55600   -7.90447e+04    0.245798    0.200000    0.189593    0.360000    0.280000    0.321953    0.295058
     55625   -7.90013e+04    0.247536    0.266667    0.189320    0.320000    0.360000    0.322587    0.296127
     55650   -7.90405e+04    0.246084    0.120000    0.189353    0.200000    0.200000    0.323287    0.296200
     55675   -7.95958e+04    0.245809    0.160000    0.187447    0.240000    0.400000    0.322913    0.296098
     55700   -7.94424e+04    0.244924    0.213333    0.190573    0.200000    0.400000    0.322380    0.296142
     55725   -7.90802e+04    0.245953    0.146667    0.190107    0.120000    0.280000    0.320953    0.295093
     55750   -7.95564e+04    0.245587    0.200000    0.189820    0.320000    0.360000    0.324707    0.295467
     55775   -7.94276e+04    0.246171    0.120000    0.190480    0.200000    0.280000    0.322107    0.295531
     55800   -7.98041e+04    0.246431    0.293333    0.190167    0.120000    0.280000    0.320813    0.296209
     55825   -7.91935e+04    0.245811    0.200000    0.188847    0.320000    0.280000    0.322040    0.296524
     55850   -7.97672e+04    0.246611    0.173333    0.189213    0.280000    0.360000    0.321847    0.295136
     55875   -7.93076e+04    0.247338    0.280000    0.190340    0.400000    0.400000    0.323340    0.295309
     55900   -7.88683e+04    0.247347    0.200000    0.190227    0.320000    0.320000    0.321393    0.295707
     55925   -7.91888e+04    0.245933    0.146667    0.190333    0.320000    0.280000    0.322147    0.295862
     55950   -7.82782e+04    0.245018    0.173333    0.189880    0.240000    0.440000    0.322033    0.297031
     55975   -7.85801e+04    0.244780    0.160000    0.186933    0.240000    0.600000    0.322373    0.295107
     56000   -7.94404e+04    0.243991    0.200000    0.186733    0.040000    0.280000    0.323180    0.296516
     56025   -7.89865e+04    0.245049    0.240000    0.187960    0.320000    0.240000    0.323800    0.294616
     56050   -7.89039e+04    0.243611    0.226667    0.188893    0.360000    0.240000    0.321933    0.296224
     56075   -7.90283e+04    0.244467    0.226667    0.188027    0.120000    0.400000    0.322073    0.296044
     56100   -7.91399e+04    0.244040    0.146667    0.187707    0.320000    0.280000    0.321120    0.295673
     56125   -7.93955e+04    0.246071    0.226667    0.190913    0.240000    0.240000    0.322993    0.294951
     56150   -8.02474e+04    0.246078    0.200000    0.189947    0.240000    0.240000    0.322733    0.294418
     56175   -8.00739e+04    0.245496    0.173333    0.188247    0.160000    0.400000    0.323327    0.294960
     56200   -8.07729e+04    0.245540    0.240000    0.191467    0.280000    0.280000    0.322727    0.294113
     56225   -8.07871e+04    0.247729    0.226667    0.190047    0.320000    0.320000    0.322707    0.293729
     56250   -8.01824e+04    0.247804    0.200000    0.190287    0.200000    0.400000    0.323293    0.294071
     56275   -7.94260e+04    0.246662    0.253333    0.191607    0.320000    0.320000    0.320280    0.294529
     56300   -7.99995e+04    0.247060    0.253333    0.191767    0.360000    0.600000    0.323293    0.294044
     56325   -7.95844e+04    0.247722    0.146667    0.191640    0.120000    0.120000    0.321673    0.293473
     56350   -7.82554e+04    0.246007    0.213333    0.188353    0.200000    0.360000    0.324387    0.295080
     56375   -7.89790e+04    0.245151    0.173333    0.188740    0.280000    0.360000    0.321140    0.296696
     56400   -7.98713e+04    0.245376    0.173333    0.187740    0.480000    0.600000    0.322380    0.296247
     56425   -7.95617e+04    0.244771    0.253333    0.190007    0.280000    0.360000    0.322200    0.293873
     56450   -7.94415e+04    0.246840    0.133333    0.191220    0.280000    0.320000    0.322033    0.293273
     56475   -7.93134e+04    0.247856    0.146667    0.193487    0.160000    0.280000    0.323847    0.294807
     56500   -7.98696e+04    0.246969    0.240000    0.192000    0.320000    0.280000    0.321547    0.294724
     56525   -8.02586e+04    0.246704    0.200000    0.191527    0.080000    0.400000    0.323640    0.296467
     56550   -8.05268e+04    0.247160    0.253333    0.190647    0.360000    0.360000    0.323433    0.294367
     56575   -8.00147e+04    0.247729    0.240000    0.192087    0.120000    0.360000    0.321513    0.294033
     56600   -8.05890e+04    0.248127    0.200000    0.193393    0.440000    0.320000    0.322013    0.294376
     56625   -8.05022e+04    0.247822    0.226667    0.191600    0.280000    0.280000    0.322407    0.294607
     56650   -8.01529e+04    0.247767    0.240000    0.189173    0.280000    0.440000    0.323640    0.295087
     56675   -8.03891e+04    0.243587    0.213333    0.189273    0.200000    0.240000    0.324007    0.295033
     56700   -8.07102e+04    0.245087    0.320000    0.189187    0.240000    0.320000    0.321933    0.293749
     56725   -8.03469e+04    0.245604    0.226667    0.190967    0.240000    0.320000    0.322293    0.293962
     56750   -8.08544e+04    0.247296    0.173333    0.191067    0.320000    0.360000    0.322247    0.293260
     56775   -8.03781e+04    0.247138    0.200000    0.192240    0.280000    0.200000    0.322300    0.292200
     56800   -8.05659e+04    0.245998    0.200000    0.192340    0.280000    0.440000    0.320100    0.292138
     56825   -8.03554e+04    0.244822    0.226667    0.190927    0.280000    0.320000    0.323520    0.293416
     56850   -8.06176e+04    0.244442    0.200000    0.189720    0.240000    0.400000    0.322900    0.294636
     56875   -8.09413e+04    0.243327    0.160000    0.190693    0.320000    0.400000    0.324013    0.293120
     56900   -8.14828e+04    0.243962    0.160000    0.189233    0.240000    0.520000    0.323620    0.292307
     56925   -8.13477e+04    0.245444    0.200000    0.192233    0.200000    0.360000    0.323560    0.293242
     56950   -8.08510e+04    0.246729    0.213333    0.191807    0.240000    0.160000    0.322313    0.292793
     56975   -8.03521e+04    0.245456    0.106667    0.191607    0.280000    0.080000    0.322673    0.293920
     57000   -8.08978e+04    0.248082    0.226667    0.195913    0.320000    0.240000    0.323320    0.293278
     57025   -8.07170e+04    0.247056    0.226667    0.192747    0.320000    0.400000    0.320827    0.293322
     57050   -8.10505e+04    0.246567    0.080000    0.192613    0.440000    0.360000    0.324113    0.293904
     57075   -8.13509e+04    0.246393    0.186667    0.191213    0.280000    0.320000    0.321587    0.293600
     57100   -8.12224e+04    0.246531    0.120000    0.189227    0.160000    0.280000    0.322093    0.292507
     57125   -8.20351e+04    0.247233    0.146667    0.192567    0.320000    0.320000    0.321827    0.292087
