 iteration      lambda
     74300   27.426613
     74325   26.720057
     74350   28.000011
     74375   26.368556
     74400   25.646582
     74425   25.327105
     74450   26.886713
     74475   25.972561
     74500   27.668161
     74525   26.265044
     74550   26.860900
     74575   26.163384
     74600   27.600286
     74625   26.068616
     74650   27.307048
     74675   27.379813
     74700   27.238033
     74725   28.151242
     74750   28.063860
     74775   27.382323
     74800   28.672897
     74825   27.776909
     74850   26.948692
     74875   27.544214
     74900   26.869671
     74925   28.337282
     74950   27.369165
     74975   27.543181
     75000   26.019245
     75025   25.825469
     75050   26.041507
     75075   26.423630
     75100   25.727524
     75125   26.454423
     75150   25.556400
     75175   26.442717
     75200   26.670398
     75225   25.888459
     75250   26.680581
     75275   26.806864
     75300   26.037811
     75325   26.583239
     75350   26.560766
     75375   27.546727
     75400   27.664272
     75425   27.005817
     75450   27.156110
     75475   26.520545
     75500   26.653593
     75525   27.466100
     75550   26.752885
     75575   26.500311
     75600   26.566904
     75625   25.768968
     75650   25.660195
     75675   26.168634
     75700   26.437963
     75725   26.833191
     75750   26.583288
     75775   27.498932
     75800   26.207484
     75825   27.899477
     75850   27.672562
     75875   27.266379
     75900   27.190772
     75925   27.392986
     75950   26.258388
     75975   26.608728
     76000   26.344446
     76025   26.400263
     76050   26.928158
     76075   27.673393
     76100   27.674307
     76125   27.783904
     76150   27.502864
     76175   27.010879
     76200   26.910952
     76225   25.456293
     76250   26.521126
     76275   25.254088
     76300   26.122872
     76325   26.582393
     76350   26.424767
     76375   25.575049
     76400   26.315626
     76425   26.954720
     76450   27.391907
     76475   26.475403
     76500   26.198598
     76525   28.213335
     76550   27.567704
     76575   28.034612
     76600   26.382920
     76625   27.276670
     76650   27.578999
     76675   28.514900
     76700   26.381798
     76725   27.950625
     76750   27.795099
     76775   26.174197
     76800   26.440869
     76825   26.484017
     76850   27.325935
     76875   27.024073
     76900   26.310949
     76925   26.119511
     76950   26.590838
     76975   26.895793
     77000   26.820989
     77025   26.623328
     77050   26.220429
     77075   25.745088
     77100   26.078131
     77125   26.544248
     77150   27.433460
     77175   27.202601
     77200   26.617043
     77225   26.712614
     77250   26.641277
     77275   26.470414
     77300   25.524267
     77325   25.751815
     77350   25.523021
     77375   25.388510
     77400   26.010090
     77425   25.536693
     77450   25.480669
     77475   25.357178
     77500   26.301243
     77525   26.519667
     77550   26.033109
     77575   25.775178
     77600   25.527140
     77625   25.810514
     77650   25.749115
     77675   25.562175
     77700   25.817894
     77725   26.488002
     77750   25.935109
     77775   25.715730
     77800   26.498899
     77825   25.649813
     77850   25.045800
     77875   25.369046
     77900   25.549239
     77925   25.102654
     77950   24.737117
     77975   24.202424
     78000   23.251846
     78025   23.265854
     78050   23.836177
     78075   23.462280
     78100   23.094715
     78125   24.571192
     78150   24.312783
     78175   23.902291
     78200   24.323360
     78225   22.770690
     78250   23.283831
     78275   24.016200
     78300   24.605919
     78325   24.371909
     78350   23.158912
     78375   23.358780
     78400   24.093927
     78425   24.337311
     78450   23.874899
     78475   25.370795
     78500   24.380206
     78525   24.851261
     78550   24.216023
     78575   24.082175
     78600   23.667373
     78625   24.348019
     78650   23.334501
     78675   23.340985
     78700   23.217299
     78725   22.505180
     78750   22.320088
     78775   22.339545
     78800   22.589500
     78825   22.086853
     78850   22.878591
     78875   22.921444
     78900   22.854915
     78925   22.361187
     78950   22.395657
     78975   22.789108
     79000   23.886299
     79025   23.009135
     79050   24.087905
     79075   23.386828
     79100   24.573746
     79125   23.105348
     79150   23.565789
     79175   23.437476
     79200   23.073814
     79225   22.981910
     79250   22.868900
     79275   22.795989
     79300   22.711244
     79325   23.618215
     79350   24.073513
     79375   23.530251
     79400   23.570947
     79425   23.860272
     79450   24.823973
     79475   25.527089
     79500   25.372087
     79525   25.975956
     79550   25.005151
     79575   24.869513
     79600   24.340479
     79625   24.898596
     79650   23.884580
     79675   24.816317
     79700   24.693790
     79725   24.261703
     79750   24.425307
     79775   24.448821
     79800   25.097176
     79825   25.279522
     79850   25.181733
     79875   24.840028
     79900   24.760402
     79925   24.656661
     79950   23.737380
     79975   23.440996
     80000   23.744412
     80025   23.566079
     80050   23.591725
     80075   23.619284
     80100   23.941331
     80125   24.839234
     80150   24.186806
     80175   24.624239
     80200   25.110226
     80225   25.101683
     80250   25.686700
     80275   25.275512
     80300   25.202596
     80325   24.336690
     80350   24.231364
     80375   23.394086
     80400   23.512598
     80425   22.880196
     80450   24.180253
     80475   23.409166
     80500   23.346862
     80525   23.419772
     80550   23.054517
     80575   23.740955
     80600   24.011182
     80625   24.403596
     80650   23.453037
     80675   23.593811
     80700   22.935069
     80725   23.476852
     80750   23.493774
     80775   22.435188
     80800   23.286954
     80825   24.220978
     80850   23.567981
     80875   23.632107
     80900   23.430008
     80925   23.205348
     80950   22.993317
     80975   22.818588
     81000   22.978869
     81025   24.200971
     81050   22.854536
     81075   22.763889
     81100   23.115278
     81125   22.518485
     81150   22.513382
     81175   21.612929
     81200   22.022764
     81225   22.260705
     81250   22.234699
     81275   22.306849
     81300   22.730751
     81325   22.827710
     81350   21.684089
     81375   22.385477
     81400   23.358098
     81425   23.883515
     81450   23.984913
     81475   23.267183
     81500   22.985992
     81525   22.464114
     81550   22.695869
     81575   22.847314
     81600   22.554537
     81625   22.980003
     81650   22.589233
     81675   22.654850
     81700   22.939659
     81725   22.840162
     81750   22.887798
     81775   22.107338
     81800   22.767946
     81825   22.437851
     81850   22.477797
     81875   22.345185
     81900   22.897934
     81925   23.291050
     81950   24.515922
     81975   24.336896
     82000   24.773898
     82025   24.311838
     82050   24.975588
     82075   23.583888
     82100   23.714087
     82125   24.481617
     82150   24.343143
     82175   25.430913
     82200   26.039119
     82225   25.409364
     82250   26.098285
     82275   25.331012
     82300   26.124924
     82325   25.365795
     82350   24.585404
     82375   24.355044
     82400   25.017070
     82425   24.766306
     82450   24.826351
     82475   23.812563
     82500   24.813275
     82525   25.423802
     82550   24.369190
     82575   23.921273
     82600   23.810417
     82625   23.578974
     82650   23.058432
     82675   23.754748
     82700   23.579400
     82725   23.242915
     82750   24.310337
     82775   24.187191
     82800   25.388117
     82825   24.452914
     82850   23.994025
     82875   24.521239
     82900   24.768086
     82925   24.364996
     82950   23.624228
     82975   23.922434
     83000   24.271202
     83025   24.549469
     83050   23.918896
     83075   24.123712
     83100   24.013286
     83125   24.892523
     83150   24.263229
     83175   24.564497
     83200   24.380732
     83225   26.189609
     83250   24.619716
     83275   25.322638
     83300   24.604193
     83325   25.306167
     83350   24.445439
     83375   25.452299
     83400   25.444747
     83425   25.105322
     83450   26.000433
     83475   25.784270
     83500   26.280327
     83525   25.252337
     83550   26.025950
     83575   27.030286
     83600   27.342020
     83625   27.130595
     83650   27.085700
     83675   27.629146
     83700   27.972567
     83725   28.630166
     83750   28.509825
     83775   27.895163
     83800   27.977423
     83825   27.843567
     83850   28.170057
     83875   28.371923
     83900   27.191617
     83925   27.123161
     83950   28.007529
     83975   26.669865
     84000   25.700000
     84025   26.606872
     84050   26.192977
     84075   26.896436
     84100   27.500588
     84125   25.813550
     84150   26.534240
     84175   26.409795
     84200   26.353805
     84225   27.031028
     84250   27.306732
     84275   25.745575
     84300   25.344030
     84325   25.488718
     84350   24.869451
     84375   26.002647
     84400   25.612496
     84425   25.207303
     84450   25.947968
     84475   25.867369
     84500   25.554353
     84525   26.037328
     84550   25.961558
     84575   25.733816
     84600   25.700907
     84625   26.424583
     84650   25.737448
     84675   26.147201
     84700   25.830411
     84725   25.613807
     84750   25.153917
     84775   26.116280
     84800   25.942407
     84825   25.186275
     84850   25.414957
     84875   25.629882
     84900   25.634892
     84925   25.584354
     84950   24.606978
     84975   25.790616
     85000   24.132047
     85025   24.623064
     85050   24.827727
     85075   24.096738
     85100   24.501692
     85125   24.736993
     85150   24.974908
     85175   24.221352
     85200   25.034747
     85225   25.560366
     85250   25.341674
     85275   25.807713
     85300   26.292743
     85325   26.359689
     85350   26.850686
     85375   25.873032
     85400   26.163964
     85425   26.343950
     85450   25.650364
     85475   24.817967
     85500   25.790629
     85525   26.018840
