 iteration      beta_a      beta_b
     72625    0.675039    3.417423
     72650    0.690980    3.477211
     72675    0.701765    3.527051
     72700    0.678349    3.370839
     72725    0.676741    3.382623
     72750    0.663389    3.271282
     72775    0.685630    3.381006
     72800    0.706476    3.554570
     72825    0.676255    3.302005
     72850    0.694183    3.529535
     72875    0.679188    3.397262
     72900    0.678960    3.378763
     72925    0.680057    3.515477
     72950    0.693547    3.368489
     72975    0.692237    3.423482
     73000    0.707024    3.541929
     73025    0.687960    3.483444
     73050    0.682576    3.453482
     73075    0.684644    3.366764
     73100    0.695383    3.317570
     73125    0.681395    3.395857
     73150    0.690736    3.455193
     73175    0.669225    3.268630
     73200    0.680863    3.336186
     73225    0.679371    3.366468
     73250    0.683133    3.370802
     73275    0.675115    3.381056
     73300    0.697634    3.474385
     73325    0.690057    3.417484
     73350    0.701186    3.525319
     73375    0.669618    3.310344
     73400    0.677992    3.335247
     73425    0.674143    3.464850
     73450    0.698264    3.556522
     73475    0.700763    3.481065
     73500    0.690843    3.374470
     73525    0.665637    3.298127
     73550    0.694320    3.425891
     73575    0.694181    3.492404
     73600    0.679396    3.344074
     73625    0.699654    3.576416
     73650    0.675379    3.366533
     73675    0.676516    3.373887
     73700    0.677735    3.348714
     73725    0.689851    3.416964
     73750    0.674983    3.336880
     73775    0.705980    3.490880
     73800    0.692897    3.457530
     73825    0.689933    3.351170
     73850    0.689318    3.489183
     73875    0.692025    3.403041
     73900    0.672019    3.392430
     73925    0.685236    3.331257
     73950    0.674541    3.364015
     73975    0.667897    3.331489
     74000    0.682536    3.411843
     74025    0.671070    3.404229
     74050    0.675891    3.385406
     74075    0.683794    3.377998
     74100    0.666783    3.290178
     74125    0.679960    3.459541
     74150    0.666223    3.255061
     74175    0.688162    3.457087
     74200    0.661602    3.306388
     74225    0.666397    3.395348
     74250    0.705287    3.539974
     74275    0.701059    3.457889
     74300    0.681502    3.454477
     74325    0.690200    3.339835
     74350    0.678885    3.311218
     74375    0.677496    3.386577
     74400    0.687428    3.484081
     74425    0.681563    3.338561
     74450    0.674442    3.397245
     74475    0.683078    3.407022
     74500    0.688435    3.480011
     74525    0.688843    3.461701
     74550    0.662534    3.295232
     74575    0.680888    3.340649
     74600    0.672260    3.328570
     74625    0.668429    3.347831
     74650    0.695548    3.486517
     74675    0.696498    3.432946
     74700    0.683461    3.473258
     74725    0.685732    3.550150
     74750    0.684479    3.429041
     74775    0.689015    3.517845
     74800    0.674983    3.420227
     74825    0.676967    3.355485
     74850    0.684468    3.356129
