 iteration      beta_a      beta_b
     24800    2.327316    1.068953
     24825    2.325101    1.033406
     24850    2.296067    1.070215
     24875    2.455523    1.117404
     24900    2.345397    1.039294
     24925    2.261843    1.045113
     24950    2.246827    1.034307
     24975    2.407658    1.079599
     25000    2.350536    1.085792
     25025    2.295515    1.030811
     25050    2.232858    1.037799
     25075    2.361384    1.059903
     25100    2.196350    1.011701
     25125    2.265550    1.036438
     25150    2.366629    1.068528
     25175    2.213097    1.006976
     25200    2.436579    1.065200
     25225    2.224245    0.987554
     25250    2.349944    1.045760
     25275    2.336241    1.073821
     25300    2.455468    1.096455
     25325    2.245635    1.029641
     25350    2.245335    0.978337
     25375    2.357713    1.052378
     25400    2.411566    1.109086
     25425    2.325725    1.037297
     25450    2.058176    1.001504
     25475    2.311076    1.032326
     25500    2.294802    1.050923
     25525    2.286647    1.024662
     25550    2.319094    1.110092
     25575    2.436998    1.094569
     25600    2.437290    1.084592
     25625    2.327654    1.047635
     25650    2.272792    1.024085
     25675    2.286008    1.076831
     25700    2.291259    0.991972
     25725    2.389985    1.079497
     25750    2.257523    1.036468
     25775    2.214241    1.018709
     25800    2.168198    1.001546
     25825    2.345101    1.048596
     25850    2.204038    1.038817
     25875    2.298491    1.045963
     25900    2.274314    1.040838
     25925    2.304653    1.046581
     25950    2.396201    1.058739
     25975    2.304192    1.072009
     26000    2.363534    1.050644
     26025    2.365948    1.055744
     26050    2.259255    1.039491
     26075    2.324799    1.044959
     26100    2.375177    1.048621
     26125    2.366727    1.054029
     26150    2.270793    1.062298
     26175    2.217168    1.004542
     26200    2.316228    1.061162
     26225    2.367561    1.056951
     26250    2.369184    1.028801
     26275    2.336559    1.011884
     26300    2.292788    1.060835
     26325    2.134637    1.008134
     26350    2.240230    1.045983
     26375    2.288800    1.032685
     26400    2.401820    1.068511
     26425    2.297093    1.027854
     26450    2.301397    1.068455
     26475    2.240164    1.034261
     26500    2.363246    1.060865
     26525    2.305848    1.046487
     26550    2.201409    1.010159
     26575    2.299148    1.035568
     26600    2.269361    1.008757
     26625    2.292480    1.026882
     26650    2.192996    0.991522
     26675    2.087001    0.993119
     26700    2.313783    1.007170
     26725    2.125124    0.982885
     26750    2.288036    1.016268
     26775    2.265694    1.032074
     26800    2.350231    1.039368
     26825    2.363147    1.044342
     26850    2.327695    1.056240
     26875    2.430651    1.071102
     26900    2.387301    1.089999
     26925    2.196800    0.984133
     26950    2.299774    1.057839
     26975    2.232425    1.011260
     27000    2.288056    1.062759
     27025    2.184100    0.991327
     27050    2.254799    1.061208
     27075    2.201644    1.002236
     27100    2.394644    1.075360
     27125    2.385260    1.089330
     27150    2.310376    1.034878
     27175    2.298134    1.059510
     27200    2.234913    1.016515
     27225    2.255732    1.062320
     27250    2.228757    1.027262
     27275    2.422331    1.098827
     27300    2.207916    1.000916
     27325    2.228636    1.013381
     27350    2.220228    1.031245
     27375    2.365508    1.051789
     27400    2.274003    1.051133
     27425    2.236297    0.988748
     27450    2.214102    1.036934
     27475    2.275163    1.081079
     27500    2.312693    1.052615
     27525    2.300882    1.012209
     27550    2.242714    1.032363
     27575    2.334863    1.053972
     27600    2.401167    1.073545
     27625    2.249595    1.037942
     27650    2.176048    0.996914
     27675    2.301016    1.044299
     27700    2.325510    1.055222
     27725    2.110831    0.990401
     27750    2.196268    1.028211
     27775    2.292076    1.026846
     27800    2.177481    1.024182
     27825    2.289466    1.059618
     27850    2.131896    0.959861
     27875    2.315112    1.081722
     27900    2.364214    1.075666
     27925    2.344737    1.031437
     27950    2.313880    1.070369
     27975    2.392821    1.049150
     28000    2.293403    1.063712
     28025    2.223001    0.998399
     28050    2.180035    1.032097
     28075    2.284631    1.035688
     28100    2.348523    1.059690
     28125    2.260127    1.038199
     28150    2.302731    1.060983
     28175    2.163115    0.992236
     28200    2.234768    1.007209
     28225    2.399597    1.080735
     28250    2.383804    1.058071
     28275    2.359658    1.103547
     28300    2.307153    1.046065
     28325    2.137664    0.961077
     28350    2.299062    1.054912
     28375    2.267386    1.081718
     28400    2.351140    1.040414
     28425    2.349897    1.040054
     28450    2.430258    1.079655
     28475    2.239973    1.037189
     28500    2.411229    1.087563
     28525    2.252309    1.047664
     28550    2.272177    1.037040
     28575    2.284521    1.034923
     28600    2.333032    1.039853
     28625    2.306370    1.047252
     28650    2.292794    1.035722
     28675    2.420028    1.066551
     28700    2.234616    1.004264
     28725    2.209079    1.035482
     28750    2.403401    1.068781
     28775    2.201996    1.024389
     28800    2.422828    1.107944
