 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
      9350   -2.20720e+04    0.314642    0.270000    0.325247    0.160000    0.280000    0.341129    0.331085
      9375   -2.18465e+04    0.316034    0.260000    0.331543    0.200000    0.280000    0.341040    0.330903
      9400   -2.18061e+04    0.314838    0.310000    0.328822    0.280000    0.400000    0.336576    0.331254
      9425   -2.26618e+04    0.317225    0.220000    0.332610    0.320000    0.240000    0.338871    0.331405
      9450   -2.28097e+04    0.317083    0.340000    0.332076    0.200000    0.400000    0.338106    0.329564
      9475   -2.21611e+04    0.314535    0.330000    0.327843    0.200000    0.240000    0.337661    0.330920
      9500   -2.17559e+04    0.315064    0.400000    0.326385    0.200000    0.320000    0.338373    0.331810
      9525   -2.13965e+04    0.314549    0.270000    0.326919    0.280000    0.160000    0.339315    0.333130
      9550   -2.09194e+04    0.316856    0.340000    0.330654    0.320000    0.440000    0.341325    0.330333
      9575   -2.05659e+04    0.315834    0.330000    0.333393    0.280000    0.280000    0.340507    0.331979
      9600   -2.06402e+04    0.314655    0.260000    0.336434    0.320000    0.240000    0.338568    0.332677
      9625   -2.10420e+04    0.315109    0.320000    0.334122    0.320000    0.240000    0.340347    0.332254
      9650   -2.12347e+04    0.316545    0.230000    0.330422    0.240000    0.280000    0.338764    0.332566
      9675   -2.09993e+04    0.315705    0.360000    0.333873    0.320000    0.320000    0.339956    0.334309
      9700   -2.11922e+04    0.315487    0.330000    0.332859    0.240000    0.320000    0.341538    0.331774
      9725   -2.09841e+04    0.315216    0.300000    0.328626    0.200000    0.160000    0.336203    0.332330
      9750   -2.07986e+04    0.316478    0.330000    0.336701    0.200000    0.360000    0.335296    0.330880
      9775   -2.11458e+04    0.314602    0.250000    0.329320    0.360000    0.200000    0.340222    0.332294
      9800   -2.08007e+04    0.316865    0.280000    0.324678    0.360000    0.200000    0.338924    0.332161
      9825   -2.06609e+04    0.315843    0.310000    0.329818    0.320000    0.320000    0.336825    0.333908
      9850   -2.05396e+04    0.314251    0.370000    0.332699    0.160000    0.440000    0.338248    0.330467
      9875   -2.15801e+04    0.314580    0.270000    0.330511    0.320000    0.280000    0.336096    0.332717
      9900   -2.12676e+04    0.314593    0.330000    0.328786    0.320000    0.280000    0.341236    0.332561
      9925   -2.19528e+04    0.315500    0.270000    0.323361    0.280000    0.240000    0.340809    0.333353
      9950   -2.19026e+04    0.315349    0.350000    0.329266    0.200000    0.320000    0.338479    0.332076
      9975   -2.19660e+04    0.315491    0.270000    0.326083    0.360000    0.480000    0.338177    0.330356
     10000   -2.22149e+04    0.316314    0.240000    0.328715    0.200000    0.200000    0.337715    0.329689
     10025   -2.15073e+04    0.315131    0.290000    0.324642    0.320000    0.280000    0.339671    0.331396
     10050   -2.23468e+04    0.316016    0.250000    0.323237    0.400000    0.200000    0.337341    0.330649
     10075   -2.22566e+04    0.316332    0.280000    0.328911    0.280000    0.520000    0.339849    0.331129
     10100   -2.28788e+04    0.316354    0.350000    0.329462    0.280000    0.400000    0.337323    0.331574
     10125   -2.30405e+04    0.314460    0.220000    0.334371    0.200000    0.320000    0.337964    0.331481
     10150   -2.29727e+04    0.314744    0.290000    0.332076    0.240000    0.320000    0.337394    0.330667
     10175   -2.24706e+04    0.315411    0.320000    0.333393    0.360000    0.320000    0.341343    0.331956
     10200   -2.22472e+04    0.315389    0.300000    0.327096    0.240000    0.240000    0.338088    0.331965
     10225   -2.32927e+04    0.315522    0.250000    0.329515    0.280000    0.360000    0.339173    0.332072
     10250   -2.37947e+04    0.316203    0.250000    0.328341    0.240000    0.280000    0.335634    0.332779
     10275   -2.30060e+04    0.315932    0.370000    0.331009    0.320000    0.400000    0.339529    0.330916
     10300   -2.27077e+04    0.315091    0.320000    0.331952    0.360000    0.240000    0.340062    0.329769
     10325   -2.29208e+04    0.316132    0.370000    0.330582    0.240000    0.480000    0.339386    0.332770
     10350   -2.32212e+04    0.315825    0.310000    0.331223    0.400000    0.440000    0.336896    0.330440
     10375   -2.31600e+04    0.314682    0.270000    0.326741    0.400000    0.240000    0.340987    0.330778
     10400   -2.28541e+04    0.315367    0.260000    0.328235    0.200000    0.240000    0.340222    0.330151
     10425   -2.32590e+04    0.314100    0.310000    0.325211    0.400000    0.200000    0.338622    0.332330
     10450   -2.31846e+04    0.313233    0.370000    0.329675    0.200000    0.160000    0.341201    0.329769
     10475   -2.27580e+04    0.317297    0.280000    0.328928    0.240000    0.280000    0.340720    0.331316
     10500   -2.30903e+04    0.314851    0.270000    0.328217    0.280000    0.400000    0.339209    0.331023
     10525   -2.27843e+04    0.314620    0.320000    0.332592    0.120000    0.400000    0.337377    0.332192
     10550   -2.29213e+04    0.316767    0.220000    0.325265    0.320000    0.240000    0.337999    0.328955
     10575   -2.27729e+04    0.311819    0.260000    0.322952    0.400000    0.280000    0.339973    0.331374
     10600   -2.24603e+04    0.316879    0.440000    0.323877    0.360000    0.400000    0.338106    0.331659
     10625   -2.17791e+04    0.317132    0.320000    0.322757    0.120000    0.200000    0.341467    0.331369
     10650   -2.14496e+04    0.316696    0.290000    0.326225    0.360000    0.320000    0.343353    0.333944
     10675   -2.17571e+04    0.316136    0.320000    0.323771    0.160000    0.320000    0.338639    0.332952
     10700   -2.19371e+04    0.316936    0.340000    0.329071    0.240000    0.240000    0.335776    0.331285
     10725   -2.17530e+04    0.317541    0.300000    0.330138    0.280000    0.120000    0.340222    0.332735
