 iteration      beta_a      beta_b
     70000    0.483904    2.549524
     70025    0.488421    2.604556
     70050    0.480455    2.573498
     70075    0.487031    2.614729
     70100    0.492124    2.594400
     70125    0.484340    2.556172
     70150    0.489035    2.573921
     70175    0.487244    2.563679
     70200    0.489617    2.618366
     70225    0.489146    2.581219
     70250    0.485468    2.577518
     70275    0.493565    2.568601
     70300    0.487188    2.584938
     70325    0.489382    2.615887
     70350    0.494983    2.626386
     70375    0.489766    2.635359
     70400    0.485688    2.568065
     70425    0.488039    2.563306
     70450    0.486929    2.590515
     70475    0.493698    2.606917
     70500    0.486961    2.566641
     70525    0.494757    2.623373
     70550    0.489389    2.624026
     70575    0.483645    2.556192
     70600    0.492624    2.608986
     70625    0.482179    2.568112
     70650    0.489023    2.553658
     70675    0.484639    2.581516
     70700    0.482999    2.531319
     70725    0.494122    2.570007
     70750    0.493515    2.600815
     70775    0.490505    2.603182
     70800    0.484530    2.571470
     70825    0.488641    2.594967
     70850    0.487582    2.565064
     70875    0.491094    2.614361
     70900    0.486332    2.563906
     70925    0.486142    2.575548
     70950    0.489629    2.596004
     70975    0.486105    2.600474
     71000    0.486719    2.575919
     71025    0.483994    2.563040
     71050    0.484518    2.557312
     71075    0.485645    2.575196
     71100    0.490039    2.574603
     71125    0.492963    2.635409
     71150    0.490229    2.593823
     71175    0.490622    2.618205
     71200    0.486260    2.534842
     71225    0.490667    2.639900
     71250    0.496245    2.630871
     71275    0.494887    2.620859
     71300    0.490289    2.637434
     71325    0.488047    2.568444
     71350    0.484981    2.569082
     71375    0.486369    2.587778
     71400    0.483107    2.548637
     71425    0.487603    2.563148
     71450    0.489258    2.596921
     71475    0.490338    2.603392
     71500    0.489266    2.584987
     71525    0.485770    2.578400
     71550    0.499434    2.595785
     71575    0.483171    2.608441
     71600    0.486450    2.577489
     71625    0.490078    2.602917
     71650    0.488033    2.600512
     71675    0.495102    2.616468
     71700    0.488350    2.599292
     71725    0.484605    2.603578
     71750    0.491128    2.585222
     71775    0.482521    2.571121
     71800    0.483880    2.571783
     71825    0.494695    2.592291
     71850    0.489155    2.560484
     71875    0.491178    2.575775
     71900    0.490624    2.594178
     71925    0.483250    2.522366
     71950    0.486942    2.556122
     71975    0.487345    2.599060
     72000    0.486753    2.588909
     72025    0.487497    2.556885
     72050    0.482854    2.545405
     72075    0.481872    2.547581
     72100    0.479721    2.522278
     72125    0.483037    2.549341
     72150    0.488969    2.594639
     72175    0.479240    2.483757
     72200    0.488245    2.564299
     72225    0.486381    2.573152
     72250    0.486217    2.566417
     72275    0.492745    2.605310
     72300    0.485523    2.590816
     72325    0.488276    2.549070
     72350    0.490008    2.594153
     72375    0.490475    2.586738
     72400    0.488781    2.597954
     72425    0.489011    2.607060
     72450    0.491971    2.646200
     72475    0.488341    2.572255
     72500    0.486244    2.571063
     72525    0.488633    2.588235
     72550    0.487389    2.597936
     72575    0.484430    2.542247
     72600    0.488689    2.593216
     72625    0.483215    2.578508
     72650    0.486482    2.604706
     72675    0.487583    2.538352
     72700    0.489388    2.577046
     72725    0.486953    2.550374
     72750    0.488104    2.551233
     72775    0.489555    2.594135
     72800    0.484325    2.543637
     72825    0.481757    2.541974
     72850    0.490363    2.572386
     72875    0.494123    2.576239
     72900    0.487041    2.554920
     72925    0.488662    2.593199
     72950    0.480266    2.539273
     72975    0.483063    2.533170
     73000    0.491069    2.595222
     73025    0.487791    2.595308
     73050    0.491227    2.556211
     73075    0.485520    2.508543
     73100    0.488713    2.547984
     73125    0.485829    2.580888
     73150    0.485094    2.604030
     73175    0.484953    2.568758
     73200    0.489179    2.563498
     73225    0.485413    2.601323
     73250    0.489686    2.550286
     73275    0.485125    2.568549
     73300    0.484456    2.541279
     73325    0.483912    2.560551
     73350    0.481840    2.570429
     73375    0.483378    2.552391
     73400    0.487555    2.546632
     73425    0.491417    2.578850
     73450    0.484739    2.549237
     73475    0.484716    2.551261
     73500    0.484365    2.565827
     73525    0.483031    2.584788
     73550    0.485580    2.575824
     73575    0.493875    2.617736
     73600    0.476405    2.560576
     73625    0.484621    2.558470
     73650    0.478811    2.553955
     73675    0.491865    2.561807
     73700    0.483989    2.552997
     73725    0.483592    2.581757
     73750    0.483527    2.554933
     73775    0.490627    2.554546
     73800    0.489324    2.596358
     73825    0.489165    2.585236
     73850    0.482077    2.559007
     73875    0.491352    2.617593
     73900    0.485198    2.595273
     73925    0.489261    2.615783
     73950    0.490614    2.617457
     73975    0.491555    2.567089
     74000    0.491511    2.602139
     74025    0.485562    2.546263
     74050    0.490627    2.574113
     74075    0.489440    2.581983
     74100    0.490273    2.584904
     74125    0.491540    2.588592
     74150    0.485291    2.595721
     74175    0.489449    2.595764
     74200    0.486247    2.552116
     74225    0.482512    2.542830
     74250    0.486701    2.566084
     74275    0.490085    2.576279
     74300    0.489309    2.546494
     74325    0.487140    2.536972
     74350    0.492028    2.607275
     74375    0.489027    2.602210
     74400    0.493638    2.627989
     74425    0.493401    2.631644
     74450    0.489131    2.601524
     74475    0.489820    2.609121
     74500    0.489703    2.600258
     74525    0.486941    2.569317
     74550    0.492739    2.564331
     74575    0.482382    2.560257
     74600    0.489448    2.586195
     74625    0.482034    2.525915
     74650    0.483908    2.582613
     74675    0.485776    2.609293
     74700    0.491893    2.609447
     74725    0.486577    2.556686
     74750    0.481235    2.575372
     74775    0.481890    2.570754
     74800    0.486948    2.570554
     74825    0.482920    2.558464
     74850    0.482127    2.533393
