 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     54975   -3.61513e+05    0.239364    0.173333    0.183300    0.240000    0.440000    0.321658    0.295410
     55000   -3.63501e+05    0.239956    0.173333    0.181998    0.360000    0.360000    0.321561    0.295796
     55025   -3.64251e+05    0.240219    0.186667    0.182460    0.320000    0.240000    0.321552    0.295299
     55050   -3.65371e+05    0.238883    0.226667    0.181016    0.200000    0.120000    0.321894    0.295332
     55075   -3.63140e+05    0.240005    0.186667    0.182829    0.280000    0.280000    0.322205    0.295535
     55100   -3.64186e+05    0.240569    0.146667    0.183740    0.440000    0.240000    0.321895    0.295255
     55125   -3.64024e+05    0.241374    0.186667    0.183065    0.440000    0.200000    0.321830    0.295163
     55150   -3.64191e+05    0.240321    0.160000    0.183466    0.320000    0.200000    0.321121    0.295252
     55175   -3.63255e+05    0.240413    0.173333    0.183605    0.240000    0.320000    0.321872    0.295385
     55200   -3.64980e+05    0.240323    0.093333    0.182691    0.160000    0.280000    0.321646    0.295036
     55225   -3.64155e+05    0.239964    0.173333    0.182726    0.280000    0.400000    0.321722    0.295017
     55250   -3.63059e+05    0.240022    0.226667    0.181310    0.320000    0.360000    0.320949    0.294982
     55275   -3.63315e+05    0.239830    0.133333    0.181412    0.400000    0.360000    0.322853    0.295121
     55300   -3.62536e+05    0.240627    0.213333    0.181945    0.280000    0.240000    0.321095    0.295738
     55325   -3.61062e+05    0.240075    0.173333    0.182255    0.360000    0.120000    0.322540    0.296330
     55350   -3.60668e+05    0.239748    0.106667    0.182467    0.240000    0.280000    0.321573    0.295798
     55375   -3.59023e+05    0.240361    0.106667    0.183290    0.360000    0.280000    0.321742    0.295511
     55400   -3.58578e+05    0.240640    0.133333    0.183151    0.440000    0.280000    0.321171    0.296015
     55425   -3.57122e+05    0.240719    0.240000    0.183426    0.160000    0.200000    0.321532    0.296217
     55450   -3.58765e+05    0.241770    0.253333    0.182538    0.280000    0.200000    0.322697    0.295900
     55475   -3.59302e+05    0.241230    0.146667    0.183076    0.160000    0.360000    0.321325    0.296341
     55500   -3.60072e+05    0.241202    0.186667    0.182944    0.160000    0.200000    0.322719    0.296551
     55525   -3.59782e+05    0.240559    0.173333    0.182850    0.240000    0.200000    0.322857    0.296227
     55550   -3.61242e+05    0.241067    0.133333    0.182843    0.200000    0.280000    0.321813    0.296033
     55575   -3.61897e+05    0.240963    0.040000    0.184248    0.320000    0.320000    0.320772    0.295267
     55600   -3.61527e+05    0.241772    0.160000    0.183740    0.360000    0.240000    0.321067    0.296149
     55625   -3.61159e+05    0.241535    0.240000    0.184229    0.440000    0.240000    0.320897    0.295494
     55650   -3.60318e+05    0.241036    0.226667    0.182707    0.320000    0.120000    0.321904    0.295720
     55675   -3.61290e+05    0.241347    0.226667    0.183168    0.200000    0.400000    0.321516    0.296106
     55700   -3.60317e+05    0.242213    0.106667    0.184032    0.400000    0.360000    0.321721    0.295686
     55725   -3.59940e+05    0.242432    0.120000    0.184597    0.240000    0.280000    0.321550    0.296578
     55750   -3.59595e+05    0.241763    0.226667    0.184053    0.440000    0.400000    0.321717    0.296651
     55775   -3.59684e+05    0.241794    0.173333    0.184354    0.320000    0.240000    0.321192    0.295623
     55800   -3.58912e+05    0.242247    0.066667    0.185202    0.400000    0.360000    0.321690    0.295945
     55825   -3.61965e+05    0.241584    0.093333    0.184760    0.240000    0.280000    0.321857    0.295949
     55850   -3.62273e+05    0.241387    0.173333    0.184080    0.280000    0.160000    0.321507    0.295346
     55875   -3.62687e+05    0.241558    0.213333    0.184907    0.440000    0.200000    0.321629    0.295740
     55900   -3.62568e+05    0.241634    0.120000    0.184775    0.320000    0.440000    0.321378    0.295336
     55925   -3.61960e+05    0.241679    0.106667    0.184864    0.400000    0.160000    0.321068    0.295588
     55950   -3.62946e+05    0.241956    0.120000    0.184759    0.320000    0.400000    0.321617    0.295607
     55975   -3.65749e+05    0.241676    0.173333    0.184794    0.200000    0.280000    0.323119    0.295395
     56000   -3.65790e+05    0.241654    0.133333    0.184838    0.320000    0.160000    0.321633    0.294543
     56025   -3.64171e+05    0.241638    0.133333    0.184885    0.240000    0.240000    0.322085    0.295038
     56050   -3.64299e+05    0.242013    0.146667    0.185516    0.160000    0.040000    0.322458    0.295603
     56075   -3.62465e+05    0.241692    0.106667    0.184612    0.320000    0.120000    0.322135    0.295109
     56100   -3.62486e+05    0.241942    0.173333    0.185054    0.400000    0.120000    0.321154    0.295300
     56125   -3.63141e+05    0.241478    0.160000    0.184799    0.320000    0.360000    0.321281    0.295527
     56150   -3.62642e+05    0.241805    0.093333    0.184425    0.240000    0.280000    0.321886    0.295334
     56175   -3.63785e+05    0.241917    0.173333    0.185234    0.280000    0.080000    0.322046    0.295140
     56200   -3.63096e+05    0.242292    0.146667    0.184962    0.400000    0.400000    0.322125    0.295448
     56225   -3.64237e+05    0.242001    0.080000    0.185795    0.440000    0.400000    0.321865    0.295167
