 iteration      lambda
     76675   30.436615
     76700   30.449015
     76725   30.592796
     76750   30.901224
     76775   30.716403
     76800   30.756600
     76825   30.912923
     76850   30.656590
     76875   30.789771
     76900   30.616996
     76925   30.763611
     76950   30.428038
     76975   30.085247
     77000   30.517691
     77025   30.521825
     77050   30.289261
     77075   30.371567
     77100   30.129685
     77125   29.912343
     77150   30.732998
     77175   30.478207
     77200   30.540165
     77225   31.071691
     77250   31.463207
     77275   31.476291
     77300   31.474823
     77325   31.263384
     77350   31.760567
     77375   31.555715
     77400   31.394324
     77425   31.059951
     77450   31.022749
     77475   30.395942
     77500   30.493146
     77525   30.223816
     77550   30.782119
     77575   31.273018
     77600   31.847887
     77625   31.497073
     77650   31.300259
     77675   31.227037
     77700   31.741689
     77725   30.722953
     77750   30.669965
     77775   30.666747
     77800   31.231610
     77825   31.179721
     77850   30.893211
     77875   31.102380
     77900   30.835832
     77925   30.921183
     77950   31.135400
     77975   31.130200
     78000   31.164240
     78025   30.414658
     78050   30.928808
     78075   31.298590
     78100   31.058434
     78125   31.129735
     78150   31.088255
     78175   32.030237
     78200   31.608623
     78225   31.664850
     78250   31.029349
     78275   30.880582
     78300   31.032686
     78325   31.901338
     78350   31.638432
     78375   31.854265
     78400   31.788734
     78425   31.812082
     78450   31.561982
     78475   31.890080
     78500   31.335905
     78525   31.479585
     78550   31.649968
     78575   31.313329
     78600   31.772133
     78625   31.357655
     78650   31.156652
     78675   31.081140
     78700   31.291366
     78725   30.948571
     78750   30.926943
     78775   30.813358
     78800   30.995928
     78825   31.093717
     78850   31.123858
     78875   30.955681
     78900   31.438953
     78925   30.543817
     78950   31.247656
     78975   30.846283
     79000   31.218093
     79025   30.843106
     79050   30.520647
     79075   31.047750
     79100   31.345920
     79125   31.194225
     79150   30.922161
     79175   31.265051
     79200   30.932458
     79225   30.837234
     79250   30.690815
     79275   31.088304
     79300   30.870591
     79325   30.805617
     79350   30.972837
     79375   31.025482
     79400   31.249643
     79425   31.358823
     79450   31.442660
     79475   30.840009
     79500   30.934221
     79525   31.458533
     79550   31.540239
     79575   31.870560
     79600   31.151375
     79625   30.892798
     79650   31.023419
     79675   30.681620
     79700   30.224068
     79725   30.403220
     79750   30.011433
     79775   29.751418
     79800   30.254586
     79825   30.217514
     79850   30.260035
     79875   30.637009
     79900   29.941103
     79925   30.460178
     79950   30.665224
     79975   31.140716
     80000   30.737904
     80025   31.244173
     80050   30.315440
     80075   31.256266
     80100   31.316058
     80125   30.877613
     80150   31.479935
     80175   31.455981
     80200   30.904382
     80225   30.843631
     80250   30.654524
     80275   30.566606
     80300   30.617222
     80325   30.475255
     80350   30.676745
     80375   30.315746
     80400   30.744977
     80425   30.595879
     80450   30.331056
     80475   30.681058
     80500   30.673890
     80525   30.169760
     80550   30.183518
     80575   29.793880
     80600   29.673636
     80625   29.887593
     80650   30.104254
     80675   30.260615
     80700   30.396675
     80725   30.285121
     80750   30.242376
     80775   29.983831
     80800   30.305518
     80825   30.697332
     80850   30.600794
     80875   30.403113
     80900   30.057481
     80925   29.920397
     80950   30.143050
     80975   30.003238
     81000   29.737075
     81025   29.842444
     81050   29.641649
     81075   29.933741
     81100   29.593605
     81125   29.907440
     81150   29.675516
     81175   29.689109
     81200   29.627504
     81225   30.038006
     81250   29.354452
     81275   29.260839
     81300   29.458472
     81325   29.584591
     81350   29.219347
     81375   28.752293
     81400   28.829537
     81425   28.950847
     81450   29.063357
     81475   29.289596
     81500   29.020439
     81525   29.213369
     81550   28.993703
     81575   29.371701
     81600   28.877516
     81625   28.535860
     81650   28.889137
     81675   29.308299
     81700   29.589532
     81725   29.602107
     81750   29.318761
     81775   29.203048
     81800   29.361122
     81825   29.469235
     81850   29.606109
     81875   29.732326
     81900   29.441184
     81925   29.889477
     81950   29.095938
     81975   29.424296
     82000   29.443152
     82025   29.554329
     82050   29.787806
     82075   29.886816
     82100   30.406159
     82125   30.098455
     82150   29.813978
     82175   29.848505
